Run a single-node all_reduce_perf on worker-1 (NVLink):
# nccl-tests version 2.17.9 nccl-headers=22807 nccl-library=22907
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 536870912 maxBytes 8589934592 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 107246 on   worker-1 device  0 [0000:8d:00] NVIDIA H200
#  Rank  1 Group  0 Pid 107246 on   worker-1 device  1 [0000:91:00] NVIDIA H200
#  Rank  2 Group  0 Pid 107246 on   worker-1 device  2 [0000:95:00] NVIDIA H200
#  Rank  3 Group  0 Pid 107246 on   worker-1 device  3 [0000:99:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
   536870912     134217728     float     sum      -1  2319.42  231.47  347.20       0  2320.78  231.33  347.00       0
  1073741824     268435456     float     sum      -1  4525.98  237.24  355.86       0  4538.34  236.59  354.89       0
  2147483648     536870912     float     sum      -1  8941.97  240.16  360.24       0  8939.18  240.23  360.35       0
  4294967296    1073741824     float     sum      -1  17761.6  241.81  362.72       0  17762.5  241.80  362.70       0
  8589934592    2147483648     float     sum      -1  35297.0  243.36  365.04       0  35357.0  242.95  364.42       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 358.042 
#
# Collective test concluded: all_reduce_perf
#

Run a single-node all_reduce_perf on worker-1 (Infiniband):
# nccl-tests version 2.17.9 nccl-headers=22807 nccl-library=22907
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 536870912 maxBytes 8589934592 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 107301 on   worker-1 device  0 [0000:8d:00] NVIDIA H200
#  Rank  1 Group  0 Pid 107301 on   worker-1 device  1 [0000:91:00] NVIDIA H200
#  Rank  2 Group  0 Pid 107301 on   worker-1 device  2 [0000:95:00] NVIDIA H200
#  Rank  3 Group  0 Pid 107301 on   worker-1 device  3 [0000:99:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
   536870912     134217728     float     sum      -1  17296.0   31.04   46.56       0  17333.7   30.97   46.46       0
  1073741824     268435456     float     sum      -1  34554.3   31.07   46.61       0  34384.5   31.23   46.84       0
  2147483648     536870912     float     sum      -1  69063.4   31.09   46.64       0  68655.1   31.28   46.92       0
  4294967296    1073741824     float     sum      -1   136627   31.44   47.15       0   136182   31.54   47.31       0
  8589934592    2147483648     float     sum      -1   271977   31.58   47.37       0   271786   31.61   47.41       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 46.9277 
#
# Collective test concluded: all_reduce_perf
#

